ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_214920_2 # 440 # 772 # -1 # ID=3592_2;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=14bp;gc_cont=0.459	k141_214920	440	772	-	Perfect	190	209.1	qacE	100.0	3005009	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2744|hsp_num:0	3754			0	330		
k141_93858_1 # 2 # 1033 # 1 # ID=3900_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.391	k141_93858	2	1033	+	Strict	175	176.0	vanT gene in vanG cluster	34.38	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	48.17	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1092	2118	vancomycin	
k141_215666_2 # 1764 # 2645 # 1 # ID=4483_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.429	k141_215666	1764	2645	+	Strict	50	142.5	vanW gene in vanG cluster	31.97	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	104.27	gnl|BL_ORD_ID|4742|hsp_num:0	1622			15	747	vancomycin	
k141_216152_4 # 1906 # 2250 # -1 # ID=5115_4;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.394	k141_216152	1906	2250	-	Strict	75	92.4	qacJ	45.19	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4661|hsp_num:0	5730			6	318	benzalkonium chloride	
k141_34165_5 # 5786 # 7147 # -1 # ID=5131_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.353	k141_34165	5786	7147	-	Strict	175	197.2	vanT gene in vanG cluster	35.58	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	63.62	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	2127	vancomycin	
k141_126817_2 # 558 # 1430 # 1 # ID=7283_2;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=8bp;gc_cont=0.395	k141_126817	558	1430	+	Strict	500	541.6	ESP-1	90.97	3003717	protein homolog model	n/a	n/a	carbapenem	antibiotic inactivation	ESP beta-lactamase	100.00	gnl|BL_ORD_ID|2030|hsp_num:0	2232			0	864		
k141_96778_1 # 13 # 342 # 1 # ID=7733_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397	k141_96778	13	342	+	Strict	75	82.8	qacJ	36.79	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_188219_1 # 202 # 1032 # -1 # ID=8099_1;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323	k141_188219	202	1032	-	Strict	50	144.4	vanW gene in vanG cluster	31.93	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	98.22	gnl|BL_ORD_ID|4742|hsp_num:0	1622			18	732	vancomycin	
k141_189340_2 # 252 # 1943 # -1 # ID=9452_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.463	k141_189340	252	1943	-	Strict	600	1074.3	ICR-Mo	96.45	3004569	protein homolog model	n/a	n/a	peptide antibiotic	antibiotic target alteration	intrinsic colistin resistant phosphoethanolamine transferase	100.90	gnl|BL_ORD_ID|2715|hsp_num:0	3271			30	1674	colistin A; colistin B	
k141_220041_1 # 36 # 446 # 1 # ID=9943_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.662	k141_220041	36	446	+	Strict	100	213.0	FosI	74.05	3007370	protein homolog model	n/a	n/a	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	101.49	gnl|BL_ORD_ID|4906|hsp_num:0	5898			6	399	fosfomycin	
k141_191353_8 # 11526 # 12524 # -1 # ID=11874_8;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.412	k141_191353	11526	12524	-	Strict	200	202.2	vanH gene in vanD cluster	35.11	3002944	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	102.79	gnl|BL_ORD_ID|1349|hsp_num:0	1333			18	957	vancomycin; teicoplanin	
k141_41302_7 # 5440 # 7884 # 1 # ID=13776_7;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.336	k141_41302	5440	7884	+	Strict	175	186.8	vanT gene in vanG cluster	33.96	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	114.33	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	1977	vancomycin	
