ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_360947_2 # 890 # 2020 # 1 # ID=165_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624	k141_360947	890	2020	+	Strict	175	213.4	vanT gene in vanG cluster	36.59	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.81	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1044	2097	vancomycin	
k141_842744_2 # 232 # 1344 # -1 # ID=1192_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.579	k141_842744	232	1344	-	Strict	50	76.3	vanW gene in vanI cluster	31.98	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	99.20	gnl|BL_ORD_ID|4747|hsp_num:0	2242			525	1023	vancomycin; teicoplanin	
k141_843522_1 # 284 # 1108 # 1 # ID=2318_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.410	k141_843522	284	1108	+	Strict	450	506.9	gadX	94.16	3000508	protein homolog model	n/a	n/a	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|79|hsp_num:0	91			0	822	erythromycin; cloxacillin; oxacillin; norfloxacin	
k141_362580_2 # 343 # 1143 # -1 # ID=2638_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.482	k141_362580	343	1143	-	Strict	500	527.7	OXA-119	95.11	3001775	protein homolog model	n/a	n/a	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	gnl|BL_ORD_ID|1152|hsp_num:0	1255			0	798	cloxacillin; oxacillin; cefalotin	
k141_122609_3 # 1537 # 1902 # 1 # ID=3843_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.388	k141_122609	1537	1902	+	Strict	75	95.5	qacJ	44.34	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	113.08	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_122611_2 # 299 # 643 # 1 # ID=3846_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.380	k141_122611	299	643	+	Strict	75	95.9	qacJ	44.34	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_844738_3 # 1158 # 1877 # 1 # ID=4274_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.606	k141_844738	1158	1877	+	Strict	50	100.5	vanY gene in vanF cluster	33.12	3002958	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	81.57	gnl|BL_ORD_ID|1809|hsp_num:0	1899			309	741	vancomycin	
k141_605091_4 # 1789 # 2739 # 1 # ID=5641_4;partial=01;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.524	k141_605091	1789	2739	+	Strict	175	214.5	vanT gene in vanG cluster	37.78	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	44.52	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1032	1962	vancomycin	
k141_364784_2 # 234 # 1085 # -1 # ID=6144_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.460	k141_364784	234	1085	-	Strict	50	140.2	vanY gene in vanG cluster	39.6	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	101.43	gnl|BL_ORD_ID|4731|hsp_num:0	298			279	834	vancomycin	
k141_605884_4 # 2781 # 3125 # -1 # ID=6819_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.328	k141_605884	2781	3125	-	Strict	75	100.1	qacG	49.04	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4662|hsp_num:0	5731			6	318	benzalkonium chloride	
