ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_1651730_6 # 3452 # 6043 # -1 # ID=48_6;partial=00;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=4bp;gc_cont=0.473	k141_1651730	3452	6043	-	Strict	175	196.1	vanT gene in vanG cluster	34.95	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	121.21	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	2118	vancomycin	
k141_383_1 # 169 # 1014 # -1 # ID=178_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.537	k141_383	169	1014	-	Strict	535	536.2	aadA10	99.63	3004692	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	101.44	gnl|BL_ORD_ID|2154|hsp_num:0	3398			0	804	spectinomycin; streptomycin	
k141_2055_3 # 2239 # 2646 # 1 # ID=736_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.485	k141_2055	2239	2646	+	Strict	240	244.2	H-NS	94.07	3000676	protein homolog model	n/a	n/a	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	98.54	gnl|BL_ORD_ID|1145|hsp_num:0	1248			0	405	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin	
k141_1655600_4 # 1478 # 2161 # 1 # ID=1234_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.348	k141_1655600	1478	2161	+	Strict	50	206.5	vanY gene in vanB cluster	53.59	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	84.70	gnl|BL_ORD_ID|603|hsp_num:0	556			261	804	vancomycin	
k141_1656317_8 # 6969 # 8201 # 1 # ID=1492_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.524	k141_1656317	6969	8201	+	Strict	700	761.9	Escherichia coli mdfA	97.07	3001328	protein homolog model	n/a	n/a	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2420|hsp_num:0	37			0	1230	tetracycline; benzalkonium chloride	
k141_5220_1 # 291 # 1106 # 1 # ID=1860_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.670	k141_5220	291	1106	+	Strict	50	89.0	vanY gene in vanB cluster	31.05	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	101.12	gnl|BL_ORD_ID|603|hsp_num:0	556			252	804	vancomycin	
k141_6274_3 # 968 # 1459 # -1 # ID=2258_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.374	k141_6274	968	1459	-	Strict	150	179.1	nimA	56.52	3007104	protein homolog model	n/a	n/a	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	92.61	gnl|BL_ORD_ID|4783|hsp_num:0	5777			0	477	metronidazole	
k141_1659960_3 # 1097 # 3868 # -1 # ID=2697_3;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=10bp;gc_cont=0.441	k141_1659960	1097	3868	-	Strict	300	310.8	tet(Q)	31.34	3000191	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	140.49	gnl|BL_ORD_ID|1220|hsp_num:0	1183			57	1887	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_1663139_7 # 8296 # 8790 # 1 # ID=3658_7;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.463	k141_1663139	8296	8790	+	Strict	150	209.1	nimJ	63.29	3007112	protein homolog model	n/a	n/a	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	99.39	gnl|BL_ORD_ID|4790|hsp_num:0	5785			9	483	metronidazole	
k141_1663254_3 # 651 # 1955 # -1 # ID=3695_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.536	k141_1663254	651	1955	-	Strict	400	581.6	ArnT	62.21	3005053	protein homolog model	n/a	n/a	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	78.77	gnl|BL_ORD_ID|2784|hsp_num:0	3795			351	1653	colistin A; colistin B	
