ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	2.00	0.00	2.00	16.95	151.00	199.00	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	131.00	0.00	131.00	100.00	495.00	183.92	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	82.00	0.00	82.00	68.00	610.00	185.39	0	0	0	0	N/A	N/A		897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation
fusB	3003552	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	8.00	0.00	8.00	16.98	109.00	61.62	0	0	0	0	N/A	N/A		642	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusidane antibiotic	antibiotic target protection
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	35.00	0.00	35.00	96.91	471.00	78.77	0	0	0	0	N/A	N/A		486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4221.00	0.00	4221.00	100.00	1476.00	196.08	0	0	0	0	N/A	N/A		1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	6.00	0.00	6.00	44.11	397.00	195.50	0	0	0	0	N/A	N/A		900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	22.00	0.00	22.00	100.00	426.00	152.82	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	15.00	0.00	15.00	84.09	391.00	155.67	0	0	0	0	N/A	N/A		465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	71.00	0.00	71.00	99.73	1463.00	193.14	0	0	0	0	N/A	N/A		1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
