ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	5.00	0.00	5.00	65.32	582.00	197.80	0	0	0	0	N/A	N/A		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	10.00	0.00	10.00	98.59	488.00	157.40	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	59.00	0.00	59.00	86.11	775.00	198.98	0	0	0	0	N/A	N/A		900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	25.00	0.00	25.00	38.27	186.00	55.76	0	0	0	0	N/A	N/A		486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
LRA-12	3002511	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	0.00	1.00	3.51	31.00	34.00	0	0	0	0	N/A	N/A		882	subclass B3 LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	7110.00	0.00	7110.00	100.00	1476.00	196.03	0	0	0	0	N/A	N/A		1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	1.00	0.00	1.00	18.18	150.00	198.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
rmtH	3003198	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	7.00	0.00	7.00	18.71	142.00	55.14	0	0	0	0	N/A	N/A		759	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	131.00	0.00	131.00	100.00	1467.00	187.95	0	0	0	0	N/A	N/A		1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(3)-IIIc	3002538	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.00	0.00	8.00	33.57	282.00	71.62	0	0	0	0	N/A	N/A		840	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-Ib	3002546	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	26.13	145.00	190.33	0	0	0	0	N/A	N/A		555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
