ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_736_4 # 2378 # 3118 # -1 # ID=571_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.370	k141_736	2378	3118	-	Strict	50	99.8	vanW gene in vanI cluster	34.52	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	65.95	gnl|BL_ORD_ID|4747|hsp_num:0	2242			603	1101	vancomycin; teicoplanin	
k141_1819_7 # 7323 # 10418 # -1 # ID=1129_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376	k141_1819	7323	10418	-	Strict	750	823.9	adeF	44.64	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.36	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3102	tetracycline	
k141_2094_3 # 1945 # 3051 # -1 # ID=1294_3;partial=00;start_type=TTG;rbs_motif=AATAA;rbs_spacer=13bp;gc_cont=0.494	k141_2094	1945	3051	-	Strict	175	189.9	vanT gene in vanG cluster	33.51	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1035	2118	vancomycin	
k141_753844_22 # 28873 # 32073 # -1 # ID=1579_22;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.689	k141_753844	28873	32073	-	Strict	750	803.1	adeF	42.92	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.66	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3168	tetracycline	
k141_3651_43 # 47223 # 48125 # 1 # ID=2154_43;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.333	k141_3651	47223	48125	+	Strict	50	85.9	vanY gene in vanM cluster	34.23	3002961	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	128.76	gnl|BL_ORD_ID|1674|hsp_num:0	1713			123	534	vancomycin; teicoplanin	
k141_3743_16 # 10321 # 12213 # -1 # ID=2220_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.506	k141_3743	10321	12213	-	Strict	50	103.6	vanW gene in vanI cluster	28.04	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	168.90	gnl|BL_ORD_ID|4747|hsp_num:0	2242			468	1083	vancomycin; teicoplanin	
k141_755878_3 # 1302 # 1634 # -1 # ID=2709_3;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.492	k141_755878	1302	1634	-	Strict	75	87.4	qacG	41.18	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4662|hsp_num:0	5731			9	315	benzalkonium chloride	
k141_757992_49 # 38860 # 39759 # 1 # ID=4043_49;partial=00;start_type=GTG;rbs_motif=ATA;rbs_spacer=10bp;gc_cont=0.423	k141_757992	38860	39759	+	Strict	50	69.3	vanY gene in vanF cluster	31.25	3002958	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	102.05	gnl|BL_ORD_ID|1809|hsp_num:0	1899			294	687	vancomycin	
k141_758324_330 # 370557 # 372542 # -1 # ID=4314_330;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401	k141_758324	370557	372542	-	Strict	50	100.5	vanW gene in vanI cluster	32.33	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	177.21	gnl|BL_ORD_ID|4747|hsp_num:0	2242			483	1104	vancomycin; teicoplanin	
k141_758324_521 # 548644 # 549453 # 1 # ID=4314_521;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=8bp;gc_cont=0.358	k141_758324	548644	549453	+	Strict	50	132.5	vanW gene in vanB cluster	36.41	3002964	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	97.82	gnl|BL_ORD_ID|4679|hsp_num:0	1036			105	690	vancomycin	
k141_8323_1 # 3 # 1820 # -1 # ID=4398_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.585	k141_8323	3	1820	-	Strict	50	95.1	vanW gene in vanI cluster	27.34	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	162.47	gnl|BL_ORD_ID|4747|hsp_num:0	2242			348	1083	vancomycin; teicoplanin	
k141_758785_6 # 5143 # 8064 # -1 # ID=4598_6;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=3bp;gc_cont=0.431	k141_758785	5143	8064	-	Strict	50	55.1	vanY gene in vanB cluster	31.03	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	363.06	gnl|BL_ORD_ID|603|hsp_num:0	556			390	738	vancomycin	
k141_762335_4 # 1347 # 2159 # -1 # ID=6519_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.517	k141_762335	1347	2159	-	Strict	50	156.4	vanW gene in vanG cluster	31.44	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	96.09	gnl|BL_ORD_ID|4742|hsp_num:0	1622			33	822	vancomycin	
k141_13296_9 # 8624 # 10462 # 1 # ID=6959_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365	k141_13296	8624	10462	+	Strict	50	120.2	vanW gene in vanI cluster	31.39	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	164.08	gnl|BL_ORD_ID|4747|hsp_num:0	2242			447	1098	vancomycin; teicoplanin	
k141_14596_7 # 4129 # 5040 # -1 # ID=7649_7;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=11bp;gc_cont=0.458	k141_14596	4129	5040	-	Strict	50	74.3	vanY gene in vanB cluster	33.33	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	113.06	gnl|BL_ORD_ID|603|hsp_num:0	556			291	771	vancomycin	
k141_764194_101 # 114164 # 117310 # 1 # ID=7682_101;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.666	k141_764194	114164	117310	+	Strict	750	817.0	adeF	45.61	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	98.96	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3111	tetracycline	
